objectid,state,country,denguecses2015,denguedths2015,denguecses2016,denguedths2016,denguecses2017,denguedths2017,denguecses2018,denguedths2018,denguecses2019,denguedths2019,denguecses2020,denguedths2020
1,Kerala,India,4075,25,7439,13,19994,37,4083,32,4652,16,2267,4
2,Goa,India,293,0,150,0,235,0,335,1,992,0,271,0
3,Mizoram,India,43,0,580,0,136,0,68,0,42,0,18,0
4,Odisha,India,2450,2,8380,11,4158,6,5198,5,3758,4,271,0
5,Karnataka,India,5077,9,6083,8,17844,10,4427,4,16986,13,2455,0
6,Sikkim,India,21,0,82,0,312,0,320,0,444,0,5,0
7,West Bengal,India,8516,14,22865,45,37746,46,,,,,,
8,Nagaland,India,21,1,142,0,357,0,369,0,8,0,0,0
9,Meghalaya,India,13,0,172,0,52,0,44,0,82,0,14,0
10,Arunachal Pradesh,India,1933,1,13,0,18,0,1,0,,,0,0
11,Tamil Nadu,India,4535,12,2531,5,23294,65,4486,13,8527,5,1709,0
12,Jharkhand,India,102,0,414,1,710,5,463,1,825,0,53,0
13,Puducherry,India,771,0,490,2,4568,7,592,2,2030,2,643,1
14,Assam,India,1076,1,6157,4,5024,1,166,0,196,0,21,0
15,Tripura,India,40,0,102,0,127,0,100,0,114,0,22,0
16,Manipur,India,52,0,51,1,193,1,14,0,359,0,35,0
17,Andaman & Nicobar,India,153,0,92,0,18,0,49,0,168,0,53,0
18,Chhattisgarh,India,384,1,356,0,444,0,2674,10,722,0,55,0
19,Gujarat,India,5590,9,8028,14,4753,6,7579,5,18219,17,720,0
20,Bihar,India,1771,0,1912,0,1854,0,2142,0,6712,0,0,0
21,Punjab,India,14128,18,10439,15,15398,18,14980,9,10289,14,128,0
22,Haryana,India,9921,13,2493,0,4550,0,1898,0,1207,0,3,0
23,Uttar Pradesh,India,2892,9,15033,42,3092,28,3829,4,10557,26,28,0
24,Jammu And Kashmir,India,153,0,79,1,488,0,214,0,439,0,0,0
25,Chandigarh,India,966,1,1246,0,1125,0,301,0,286,0,6,0
26,Rajasthan,India,4043,7,5292,16,8427,14,9587,10,13706,17,356,0
27,The Dadra And Nagar Haveli And Daman And Diu,India,1319,0,4250,2,2123,0,656,0,2116,4,172,0
28,Delhi,India,15867,60,4431,10,9271,10,7136,4,5077,0,67,0
29,Madhya Pradesh,India,2108,8,3150,12,2666,6,4506,5,4189,2,98,0
30,Uttarakhand,India,1655,1,2146,4,849,0,689,3,10622,8,5,1
31,Himachal Pradesh,India,19,1,322,0,452,0,4672,7,344,2,3,0
32,Maharashtra,India,4936,23,6792,33,7829,65,11011,55,14907,29,1499,2
33,Andhra Pradesh,India,3159,2,3417,2,4925,0,4011,0,5286,0,453,0
34,Telangana,India,1831,2,4037,4,5369,0,4592,2,13331,7,648,0
35,Lakshadweep,India,,,,,,,,,,,,
36,Ladakh,India,,,,,,,,,,,,
